designation,discovery_date,H,MOID,q,Q,PHA,period,orbit_class
(2010 AG79),01/13/2010,19.9,0.244,1.22,4.59,N,4.95,Amor
(2010 UB8),10/27/2010,19.7,0.194,1.11,4.85,N,5.15,Amor
(2014 NM64),07/11/2014,22.6,0.051,1.06,4.62,N,4.79,Amor
(2010 LQ33),06/04/2010,19.3,0.228,1.23,3.31,N,3.42,Amor
(2010 YD3),12/26/2010,20,0.195,1.11,4.05,N,4.14,Amor
(2010 LO97),06/13/2010,18.7,0.233,1.22,3.94,N,4.14,Amor
(2010 FY80),03/28/2010,19.7,0.14,1.05,4.35,N,4.42,Amor
(2014 OZ1),07/20/2014,21,0.231,1.08,2.35,N,2.24,Amor
(2010 OD101),07/23/2010,20.7,0.19,1.04,2.2,N,2.06,Amor
(2010 KH),05/16/2010,19.4,0.367,1.24,4.28,N,4.59,Amor
(2014 BG60),01/25/2014,20.1,0.227,1.17,4.89,N,5.27,Amor
(2010 LR68),06/08/2010,18.3,0.216,1.19,4.88,N,5.29,Amor
